,CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,NOMBRE_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,CASILLA,NUM_ACTA_IMPRESO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CI,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,OBSERVACIONES,MECANISMOS_TRASLADO,FECHA_HORA
33885,'094357C0100',094357C010035826,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4357,1,C,0,Urbana,2,271,43,4,4,2,19,105,7,1,3,0,6,0,0,0,1,0,0,0,2,8,476,660,Recuento (Para recuento (SRA)),I-D,09/06/2021 19:06:32
33886,'094358B0100',094358B010032676,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4358,1,B,0,Urbana,2,195,28,9,1,4,9,94,1,2,3,0,2,0,0,0,0,0,0,0,0,1,349,540,Recuento (Para recuento (SRA)),I-D,09/06/2021 19:06:10
33887,'094358C0100',094358C010035830,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4358,1,C,0,Urbana,2,171,40,7,2,5,8,83,4,0,1,0,5,1,0,0,0,0,0,5,0,8,340,539,Recuento (Para recuento (SRA)),I-D,09/06/2021 20:06:05
33888,'094358C0200',094358C020035832,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4358,2,C,0,Urbana,2,163,35,5,6,4,8,86,1,1,4,0,2,1,0,0,3,0,0,1,1,3,324,539,Recuento (Para recuento (SRA)),I-D,10/06/2021 00:06:43
33889,'094359B0100',094359B010032677,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4359,1,B,0,Urbana,2,200,30,3,4,3,10,120,6,2,5,0,4,0,1,0,0,0,0,1,1,3,393,628,Recuento (Para recuento (SRA)),I-D,09/06/2021 20:06:42
33890,'094359C0200',094359C020035835,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4359,2,C,0,Urbana,2,230,37,5,2,6,8,105,5,2,5,0,1,0,0,0,2,0,0,0,0,3,411,627,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:19
33891,'094359C0100',094359C010035834,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4359,1,C,0,Urbana,2,208,28,5,6,2,10,96,4,0,2,0,0,3,1,0,1,0,0,0,0,7,373,628,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:39
33892,'094360B0100',094360B010032678,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4360,1,B,0,Urbana,2,167,37,8,4,3,5,100,2,0,4,0,4,0,0,0,3,0,0,0,0,6,343,565,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:19
33893,'094360C0300',094360C030036236,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4360,3,C,0,Urbana,2,185,26,1,2,3,11,96,4,1,2,0,3,2,0,0,0,0,0,2,2,8,348,564,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:15
33894,'094360C0200',094360C020036234,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4360,2,C,0,Urbana,2,172,38,2,2,5,6,107,1,4,3,0,2,0,0,0,1,0,0,1,0,8,352,564,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:13
33895,'094360C0100',094360C010036232,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4360,1,C,0,Urbana,2,177,40,3,3,5,6,105,2,1,11,0,1,1,0,0,0,0,0,1,1,7,364,564,Recuento (Para recuento (SRA)),I-D,09/06/2021 20:06:35
33896,'094361B0100',094361B010032679,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4361,1,B,0,Urbana,2,241,38,8,5,3,8,111,2,4,4,0,2,0,0,0,0,0,0,0,1,8,435,702,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:56
